valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
,467,,,12,,,0.3614211678504944
,693,0.36668023467063904,,,,,
,694,0.36052069067955017,,,,,
,469,,0.36052069067955017,13,,,
,696,0.36438554525375366,,,,,
,697,0.36503615975379944,,,,,
,698,0.3591327667236328,,,,,
,699,0.3674526810646057,,,,,
,700,0.36228910088539124,,,,,
,474,,0.36228910088539124,13,,,
,702,0.35932865738868713,,,,,
,703,0.38302236795425415,,,,,
,704,0.35466036200523376,,,,,
,705,0.35057827830314636,,,,,
,706,0.34492579102516174,,,,,
,479,,0.34492579102516174,13,,,
,708,0.3654719591140747,,,,,
,709,0.36053213477134705,,,,,
,710,0.36423420906066895,,,,,
,711,0.3617025911808014,,,,,
,712,0.366424560546875,,,,,
,484,,0.366424560546875,13,,,
,714,0.3607712984085083,,,,,
,715,0.3645193576812744,,,,,
,716,0.3673836290836334,,,,,
,717,0.35703349113464355,,,,,
,718,0.3482527732849121,,,,,
,489,,0.3482527732849121,13,,,
,720,0.3641757369041443,,,,,
,721,0.3711722791194916,,,,,
,722,0.35971179604530334,,,,,
,723,0.3558386564254761,,,,,
,724,0.3664039969444275,,,,,
,494,,0.3664039969444275,13,,,
,726,0.35613855719566345,,,,,
,727,0.36272120475769043,,,,,
,728,0.3583926260471344,,,,,
,729,0.3543755114078522,,,,,
,730,0.3527447581291199,,,,,
,499,,0.3527447581291199,13,,,
,732,0.35150086879730225,,,,,
,733,0.3490102291107178,,,,,
,734,0.35711967945098877,,,,,
,735,0.3521231412887573,,,,,
0.35658445954322815,736,,,,,,
,52,,,,0.35658445954322815,,
0.36757633090019226,738,,,,,,
,53,,,,0.36757633090019226,,
0.3659217655658722,740,,,,,,
,54,,,,0.3659217655658722,,
0.358275443315506,742,,,,,,
,55,,,,0.358275443315506,,
,503,,,13,,0.36208951473236084,
,503,,,13,,,0.360160231590271
,746,0.36804690957069397,,,,,
,504,,0.36804690957069397,14,,,
,748,0.36158278584480286,,,,,
,749,0.3675770163536072,,,,,
,750,0.36387479305267334,,,,,
,751,0.3626610338687897,,,,,
,752,0.3692421317100525,,,,,
,509,,0.3692421317100525,14,,,
,754,0.36021462082862854,,,,,
,755,0.3555494546890259,,,,,
,756,0.3770482540130615,,,,,
,757,0.35362040996551514,,,,,
,758,0.35106387734413147,,,,,
,514,,0.35106387734413147,14,,,
,760,0.34564661979675293,,,,,
,761,0.36158156394958496,,,,,
,762,0.35563501715660095,,,,,
,763,0.3578936457633972,,,,,
,764,0.3523436188697815,,,,,
,519,,0.3523436188697815,14,,,
,766,0.3612230122089386,,,,,
,767,0.3519001603126526,,,,,
,768,0.3600400984287262,,,,,
,769,0.3704514801502228,,,,,
,770,0.360142320394516,,,,,
,524,,0.360142320394516,14,,,
,772,0.3498108386993408,,,,,
,773,0.3676283061504364,,,,,
,774,0.36859408020973206,,,,,
,775,0.35899463295936584,,,,,
,776,0.3547682464122772,,,,,
,529,,0.3547682464122772,14,,,
,778,0.3674912452697754,,,,,
,779,0.3520781099796295,,,,,
,780,0.36085981130599976,,,,,
,781,0.3518184423446655,,,,,
,782,0.3541228473186493,,,,,
,534,,0.3541228473186493,14,,,
,784,0.3495447337627411,,,,,
,785,0.3502928912639618,,,,,
,786,0.3493594229221344,,,,,
,787,0.35306698083877563,,,,,
,788,0.357937753200531,,,,,
,539,,0.357937753200531,14,,,
0.3555813431739807,790,,,,,,
,56,,,,0.3555813431739807,,
0.36647889018058777,792,,,,,,
,57,,,,0.36647889018058777,,
0.3648841679096222,794,,,,,,
,58,,,,0.3648841679096222,,
0.35711729526519775,796,,,,,,
,59,,,,0.35711729526519775,,
,539,,,14,,0.3610154390335083,
,539,,,14,,,0.3587140738964081
,800,0.3692610263824463,,,,,
,801,0.3583312928676605,,,,,
,802,0.3640236556529999,,,,,
,803,0.3598324954509735,,,,,
,804,0.35848569869995117,,,,,
,544,,0.35848569869995117,15,,,
